,V,i,si,sV
177,7.7,2.1783701839999999e-07,4.476085327441916e-10,0.0177
178,7.8,2.1987240142999998e-07,4.5166530184763467e-10,0.0178
179,7.9,2.1959631994e-07,4.5111483846502633e-10,0.0179
180,8.0,2.2018928899e-07,4.522954648539437e-10,0.018000000000000002
181,8.1,2.2103590161e-07,4.539840201680837e-10,0.018099999999999998
182,8.2,2.2175822523e-07,4.55424538729947e-10,0.0182
183,8.3,2.2229352659e-07,4.5649142130875685e-10,0.0183
184,8.4,2.2350601719e-07,4.5891066181679594e-10,0.0184
185,8.5,2.2398204825000002e-07,4.5986057953990777e-10,0.018500000000000003
186,8.6,2.2391934474e-07,4.597370135554278e-10,0.0186
187,8.7,2.2509690647e-07,4.6208302050890657e-10,0.0187
188,8.8,2.2536211019e-07,4.626118609649112e-10,0.0188
189,8.9,2.2671995359e-07,4.653183599741801e-10,0.0189
190,9.0,2.2737791422999998e-07,4.666301372858655e-10,0.019000000000000003
191,9.1,2.2560953526999998e-07,4.631077129592688e-10,0.0191
192,9.2,2.2824680112e-07,4.68365326500902e-10,0.019200000000000002
193,9.3,2.2839582319000002e-07,4.686615460872073e-10,0.0193
194,9.4,2.2944910207e-07,4.707595178294507e-10,0.0194
195,9.5,2.3016322354e-07,4.721856558782169e-10,0.0195
196,9.6,2.3091213985e-07,4.736802742297751e-10,0.0196
197,9.7,2.3139417583e-07,4.746416899117249e-10,0.019700000000000002
198,9.8,2.3210080698e-07,4.760520606959081e-10,0.0198
199,9.9,2.3216871323e-07,4.761878229097398e-10,0.0199
200,10.0,2.3236681088e-07,4.765835071464201e-10,0.02
